stock,endDate,accountsPayable,inventory,longTermDebt,netReceivables,netTangibleAssets,longTermInvestments,totalCurrentAssets,propertyPlantEquipment,otherStockholderEquity,deferredLongTermAssetCharges,totalCurrentLiabilities,cash,otherAssets,treasuryStock,goodWill,otherLiab,retainedEarnings,otherCurrentAssets,commonStock,totalAssets,otherCurrentLiab,deferredLongTermLiab,totalStockholderEquity,totalLiab,capitalSurplus,intangibleAssets,shortTermInvestments,shortLongTermDebt,minorityInterest
ALKS,2019-12-31,54261000.0,101803000.0,274295000.0,265472000.0,841926000.0,85291000.0,961970000.0,374547000.0,-1816000.0,96558000.0,391112000.0,203771000.0,140079000.0,-120202000.0,92873000.0,49212000.0,-1381988000.0,,1602000.0,1805403000.0,6766000.0,,1085442000.0,719961000.0,2586030000.0,150643000.0,331208000.0,2843000.0,
ALKS,2019-09-30,81417000.0,100987000.0,274838000.0,255256000.0,814497000.0,26652000.0,997918000.0,355241000.0,-1638000.0,87615000.0,370394000.0,261426000.0,124497000.0,-119938000.0,92873000.0,37922000.0,-1376634000.0,,1599000.0,1757995000.0,1798000.0,,1068184000.0,689811000.0,2563157000.0,160814000.0,325756000.0,2843000.0,
ALKS,2019-06-30,42880000.0,94780000.0,275381000.0,273916000.0,827309000.0,29199000.0,994597000.0,342141000.0,-1614000.0,86894000.0,334146000.0,195954000.0,121955000.0,-119757000.0,92873000.0,42192000.0,-1323756000.0,,1595000.0,1751751000.0,2103000.0,,1091168000.0,660583000.0,2533086000.0,170986000.0,374340000.0,2843000.0,
DX,2020-03-31,,,2171000.0,1534597000.0,375898000.0,494956000.0,1648243000.0,,246778000.0,,4436776000.0,51411000.0,3231019000.0,246778000.0,,384664000.0,-729313000.0,59204000.0,230000.0,5374218000.0,5424000.0,,375898000.0,4823611000.0,858203000.0,,,4408106000.0,
DX,2019-12-31,,,2733000.0,35614000.0,420181000.0,163538000.0,174134000.0,,173806000.0,,4775187000.0,62582000.0,5032932000.0,173806000.0,,9696000.0,-612201000.0,71648000.0,229000.0,5370604000.0,6280000.0,,420181000.0,4787616000.0,858347000.0,,,4752348000.0,
DX,2019-09-30,,,2950000.0,33930000.0,421640000.0,158892000.0,177710000.0,,217010000.0,,4886774000.0,41781000.0,5150799000.0,217010000.0,,13230000.0,-653649000.0,97154000.0,229000.0,5487401000.0,6280000.0,,421640000.0,4902954000.0,858050000.0,,,4872869000.0,
DX,2019-06-30,,,3078000.0,36840000.0,442567000.0,581388000.0,148532000.0,,161815000.0,,4838730000.0,49956000.0,5138965000.0,161815000.0,,428439000.0,-602127000.0,61394000.0,246000.0,5868885000.0,7164000.0,,442567000.0,5270247000.0,882633000.0,,,4815452000.0,
CLGN,2020-03-31,629000.0,1107000.0,,611000.0,7269000.0,,7343000.0,5372000.0,-969000.0,,2611000.0,5614000.0,163000.0,-969000.0,,51000.0,-68861000.0,11000.0,2712000.0,12878000.0,687000.0,,7269000.0,5609000.0,74387000.0,,,18000.0,
CLGN,2019-12-31,833000.0,888000.0,,265000.0,4088000.0,,5040000.0,5544000.0,-969000.0,,3457000.0,3791000.0,168000.0,-969000.0,,68000.0,-67260000.0,12000.0,2368000.0,10752000.0,1101000.0,,4088000.0,6664000.0,69949000.0,,,24000.0,
CLGN,2019-09-30,766000.0,792000.0,,550000.0,-1676000.0,,7094000.0,5301000.0,-1008000.0,,5115000.0,5741000.0,167000.0,-1008000.0,,697000.0,-56714000.0,11000.0,1583000.0,12866000.0,2904000.0,,-1372000.0,14238000.0,54767000.0,,,18000.0,
CLGN,2019-06-30,761000.0,958000.0,,905000.0,1512000.0,,3614000.0,5454000.0,-1008000.0,,3297000.0,1740000.0,163000.0,-1008000.0,,1400000.0,-53509000.0,11000.0,1583000.0,9547000.0,1235000.0,,1828000.0,7719000.0,54762000.0,,,18000.0,
EDSA,2020-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDSA,2019-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDSA,2019-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EDSA,2019-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAH,2020-03-31,21984000000.0,12808000000.0,6744000000.0,9019000000.0,-10175000000.0,,25848000000.0,2768000000.0,-141000000.0,,24671000000.0,2329000000.0,1154000000.0,-2227000000.0,8339000000.0,8136000000.0,656000000.0,,2774000000.0,41148000000.0,121000000.0,,1203000000.0,39942000000.0,,3039000000.0,,504000000.0,3000000.0
CAH,2019-12-31,21459000000.0,13799000000.0,6731000000.0,8280000000.0,-10524000000.0,,25736000000.0,2705000000.0,-103000000.0,,24890000000.0,1659000000.0,1078000000.0,-2202000000.0,8356000000.0,8084000000.0,449000000.0,,2752000000.0,41042000000.0,124000000.0,,999000000.0,40040000000.0,,3167000000.0,,1188000000.0,3000000.0
CAH,2019-09-30,19724000000.0,12458000000.0,7348000000.0,8190000000.0,-10758000000.0,,23715000000.0,2718000000.0,-101000000.0,,22549000000.0,1212000000.0,1088000000.0,-2140000000.0,8360000000.0,8055000000.0,371000000.0,,2669000000.0,39179000000.0,66000000.0,,900000000.0,38276000000.0,,3298000000.0,,626000000.0,3000000.0
CAH,2019-06-30,21535000000.0,12822000000.0,7580000000.0,8460000000.0,-5480000000.0,,25747000000.0,2356000000.0,-79000000.0,,24109000000.0,2531000000.0,1006000000.0,-1869000000.0,8378000000.0,2939000000.0,5434000000.0,,2763000000.0,40963000000.0,5000000.0,,6328000000.0,34633000000.0,,3430000000.0,,447000000.0,2000000.0
UE,2020-03-31,69350000.0,,1866853000.0,93354000.0,897615000.0,,763369000.0,2295682000.0,,,69350000.0,622667000.0,24739000.0,,,130840000.0,-30243000.0,47348000.0,1179000.0,3143600000.0,,24739000.0,957425000.0,2145377000.0,986489000.0,59810000.0,,,40798000.0
UE,2019-12-31,13014000.0,,1546195000.0,95443000.0,919695000.0,,606819000.0,2158607000.0,,,37938000.0,432954000.0,32811000.0,,,173898000.0,-52546000.0,78422000.0,1213000.0,2846358000.0,,25351000.0,967816000.0,1831582000.0,1019149000.0,48121000.0,,,46960000.0
